1.1437,0.47994
1.1496,0.48997
1.1603,0.50502
1.1769,0.52006
1.1984,0.54012
1.2239,0.56019
1.2512,0.58488
1.2776,0.59992
1.304,0.61497
1.3284,0.63002
1.349,0.64005
1.3636,0.64506
1.3724,0.64005
1.3773,0.625
1.3783,0.60995
1.3763,0.58488
1.3705,0.55015
1.3617,0.51505
1.3509,0.48997
1.3372,0.46489
1.3206,0.44483
1.303,0.43519
1.2845,0.42515
1.2649,0.42014
1.2444,0.42014
1.2287,0.42014
1.2141,0.42014
1.1955,0.41512
1.173,0.41512
1.1505,0.42014
1.1271,0.42515
1.1036,0.43981
1.0811,0.44483
1.0596,0.44483
1.0391,0.44483
1.0176,0.44985
0.99609,0.45486
0.98143,0.44985
0.97067,0.44985
0.95601,0.45486
0.94135,0.45988
0.93255,0.44985
0.93646,0.44483
0.95894,0.44483
1.0039,0.44483
1.0772,0.45988
1.1799,0.48997
1.3089,0.52006
1.4594,0.54514
1.6246,0.56019
1.7752,0.55015
1.914,0.53009
2.0635,0.5
2.2082,0.45988
2.3392,0.43017
2.4497,0.41011
2.5367,0.39506
2.6002,0.39005
2.6393,0.39005
2.6559,0.39005
2.653,0.38503
2.6315,0.38002
2.5982,0.38002
2.5562,0.43981
2.5024,0.54012
2.4409,0.60995
2.3724,0.61497
2.2972,0.55015
2.216,0.45486
2.13,0.36497
2.0401,0.32986
1.9462,0.375
1.8504,0.41011
1.7537,0.42014
1.6588,0.40509
1.5777,0.40509
1.5054,0.40008
1.4311,0.40008
1.3607,0.40008
1.2981,0.40509
1.2454,0.41011
1.2043,0.41512
1.175,0.42014
1.1574,0.42515
1.1515,0.42515
1.1554,0.43519
1.1691,0.44483
1.1877,0.46489
1.2092,0.48495
1.2346,0.50502
1.263,0.52508
1.2913,0.54514
1.3177,0.56481
1.3421,0.58488
1.3636,0.60494
1.3812,0.61998
1.3949,0.625
1.4047,0.625
1.4106,0.60995
1.4135,0.58989
1.4154,0.56481
1.4145,0.53511
1.4106,0.5
1.4037,0.47492
1.3939,0.44985
1.3822,0.43519
1.3685,0.43017
1.3529,0.42014
1.3353,0.41512
1.3167,0.41512
1.2972,0.41512
1.2766,0.41512
1.259,0.41512
1.2434,0.42014
1.2248,0.42014
1.2053,0.42515
1.1857,0.43017
1.1662,0.43981
1.1466,0.44483
1.129,0.44985
1.1124,0.45988
1.0948,0.46489
1.0782,0.46489
1.0645,0.46991
1.0528,0.46489
1.0479,0.46489
1.0508,0.46489
1.0645,0.46489
1.0958,0.46489
1.1505,0.46489
1.2317,0.46991
1.3412,0.49498
1.4751,0.53009
1.6295,0.56983
1.7977,0.58989
1.9707,0.59491
2.1388,0.56983
2.2766,0.54012
2.392,0.50502
2.5064,0.46489
2.608,0.43981
2.6901,0.42515
2.7498,0.41512
2.7869,0.41011
2.8016,0.41011
2.7957,0.41011
2.7722,0.40509
2.7341,0.39506
2.6862,0.42014
2.6285,0.52006
2.5699,0.63503
2.5093,0.6848
2.4399,0.66011
2.3636,0.56983
2.2845,0.46489
2.2023,0.39506
2.1173,0.39005
2.0303,0.42515
1.9413,0.42014
1.8504,0.40509
1.7605,0.40008
1.6725,0.40008
1.6334,0.40008
1.6217,0.39506
1.5816,0.39506
1.5337,0.40008
1.4888,0.40008
1.4516,0.40509
1.4242,0.41512
1.4066,0.42014
1.3978,0.42014
1.3978,0.43519
1.4057,0.44483
1.4194,0.45988
1.437,0.48495
1.4565,0.50502
1.4761,0.53009
1.4956,0.55517
1.5152,0.57485
1.5337,0.59992
1.5494,0.61998
1.5621,0.63503
1.5709,0.64005
1.5767,0.63503
1.5777,0.61998
1.5758,0.59491
1.5699,0.56481
1.564,0.52508
1.5562,0.49498
1.5435,0.45988
1.5279,0.43981
1.5103,0.42515
1.4907,0.41512
1.4702,0.40509
1.4487,0.40008
1.4262,0.40008
1.4037,0.40008
1.3812,0.40008
1.3587,0.40509
1.3372,0.40509
1.3206,0.41011
1.3069,0.41512
1.2893,0.41512
1.2717,0.41512
